date,hold,hour,gex_neg,cr_minus_hvl,cr_minus_open,gap,q_option,q_momentum
2025-08-01,1,09,1,105.0,-38.5,-55.75,0.0,2.0
2025-08-01,1,09,1,105.0,-38.5,-55.75,0.0,2.0
2025-08-01,0,13,1,105.0,-38.5,-55.75,0.0,2.0
2025-08-01,1,14,1,105.0,-38.5,-55.75,0.0,2.0
2025-10-10,1,14,1,80.0,-158.75,9.25,1.0,2.0
2025-10-14,0,08,1,100.0,-4.75,-58.25,0.0,3.0
2025-11-04,0,08,0,185.0,19.0,-75.5,1.0,5.0
2025-11-05,1,09,1,175.0,30.75,-4.75,4.0,4.0
2025-11-05,1,10,1,175.0,30.75,-4.75,4.0,4.0
2025-11-10,0,08,1,190.0,13.5,55.25,5.0,4.0
2025-11-10,0,11,1,190.0,13.5,55.25,5.0,4.0
2025-11-13,1,08,0,200.0,-18.0,-31.75,1.0,2.0
2025-11-18,1,11,1,125.0,22.5,-43.25,1.0,2.0
2025-11-18,1,13,1,125.0,22.5,-43.25,1.0,2.0
2025-11-18,1,13,1,125.0,22.5,-43.25,1.0,2.0
2025-11-26,0,10,0,255.0,24.25,22.25,5.0,4.0
2025-12-03,0,08,0,190.0,0.0,-10.75,5.0,5.0
2025-12-12,1,10,0,90.0,-67.0,-11.75,4.0,5.0
2025-12-12,0,11,0,90.0,-67.0,-11.75,4.0,5.0
2025-12-12,1,14,0,90.0,-67.0,-11.75,4.0,5.0
2025-12-15,0,09,0,90.0,-41.75,36.25,3.0,5.0
2025-12-15,1,10,0,90.0,-41.75,36.25,3.0,5.0
2025-12-15,1,13,0,90.0,-41.75,36.25,3.0,5.0
2025-12-19,1,10,1,140.0,41.75,25.5,3.0,4.0
2025-12-19,0,11,1,140.0,41.75,25.5,3.0,4.0
2025-12-19,1,12,1,140.0,41.75,25.5,3.0,4.0
2025-12-19,1,14,1,140.0,41.75,25.5,3.0,4.0
2026-01-02,1,08,1,110.0,11.25,30.25,0.0,4.0
2026-01-16,1,10,0,125.0,-7.5,15.25,2.0,4.0
2026-01-16,1,11,0,125.0,-7.5,15.25,2.0,4.0
2026-01-16,0,13,0,125.0,-7.5,15.25,2.0,4.0
2026-01-16,1,13,0,125.0,-7.5,15.25,2.0,4.0
2026-01-20,1,08,1,70.0,17.25,-41.5,0.0,2.0
2026-01-20,0,09,1,70.0,17.25,-41.5,0.0,2.0
2026-01-21,1,09,1,100.0,36.25,13.25,0.0,2.0
2026-01-21,0,13,1,100.0,36.25,13.25,0.0,2.0
2026-01-30,0,12,0,55.0,-27.25,-23.25,1.0,5.0
2026-02-03,1,14,0,100.0,-70.5,5.0,0.0,3.0
2026-02-04,1,09,1,100.0,-10.25,7.5,0.0,2.0
2026-02-06,1,08,1,80.0,32.75,40.5,3.0,4.0
2026-02-12,0,10,0,70.0,-92.5,19.0,1.0,1.0
2026-02-12,1,11,0,70.0,-92.5,19.0,1.0,1.0
2026-02-12,1,12,0,70.0,-92.5,19.0,1.0,1.0
2026-02-13,1,10,1,70.0,37.5,-4.5,1.0,1.0
2026-02-13,1,12,1,70.0,37.5,-4.5,1.0,1.0
2026-02-13,1,13,1,70.0,37.5,-4.5,1.0,1.0
2026-02-18,1,08,1,100.0,15.25,12.0,1.0,2.0
2026-02-18,0,14,1,100.0,15.25,12.0,1.0,2.0
2026-02-19,1,08,1,100.0,18.25,-22.5,1.0,2.0
2026-02-19,1,10,1,100.0,18.25,-22.5,1.0,2.0
2026-02-20,1,09,1,100.0,36.25,-25.5,3.0,4.0
2026-02-20,1,11,1,100.0,36.25,-25.5,3.0,4.0
2026-02-24,0,08,1,50.0,-8.5,-10.5,1.0,2.0
2026-04-09,1,10,0,195.0,26.0,-7.75,5.0,4.0
2026-04-15,1,11,0,230.0,24.5,11.0,5.0,5.0
2026-04-15,1,12,0,230.0,24.5,11.0,5.0,5.0
2026-04-17,0,08,0,255.0,17.5,45.75,5.0,5.0
2026-04-20,0,10,0,80.0,-9.5,-17.0,5.0,5.0
2026-04-20,1,11,0,80.0,-9.5,-17.0,5.0,5.0
2026-04-20,1,11,0,80.0,-9.5,-17.0,5.0,5.0
2026-04-21,1,10,0,85.0,-23.75,16.0,5.0,5.0
2026-04-21,1,11,0,85.0,-23.75,16.0,5.0,5.0
2026-04-21,1,14,0,85.0,-23.75,16.0,5.0,5.0
2026-04-23,1,13,0,65.0,-13.5,-11.5,5.0,5.0
2026-04-23,0,14,0,65.0,-13.5,-11.5,5.0,5.0
2026-04-23,0,14,0,65.0,-13.5,-11.5,5.0,5.0
2026-04-24,1,10,0,205.0,26.25,28.5,5.0,5.0
2026-04-24,0,12,0,205.0,26.25,28.5,5.0,5.0
2026-04-24,0,13,0,205.0,26.25,28.5,5.0,5.0
2026-04-27,0,10,0,65.0,2.5,-6.25,5.0,5.0
2026-04-30,0,13,0,130.0,38.75,62.25,5.0,5.0
2026-05-04,1,13,0,80.0,-11.75,-3.75,5.0,5.0
2026-05-11,1,09,0,100.0,28.75,-10.5,5.0,5.0
2026-05-11,1,14,0,100.0,28.75,-10.5,5.0,5.0
2026-05-11,1,14,0,100.0,28.75,-10.5,5.0,5.0
2026-05-13,1,10,0,135.0,9.5,9.25,5.0,5.0
2026-05-14,1,11,0,235.0,57.75,8.5,5.0,5.0
2026-05-15,1,08,0,80.0,-20.75,-67.5,5.0,5.0
2026-05-18,0,08,0,75.0,0.25,18.75,5.0,4.0
2026-05-20,0,10,1,95.0,43.75,20.25,5.0,4.0
2026-05-20,1,11,1,95.0,43.75,20.25,5.0,4.0
2026-05-20,0,12,1,95.0,43.75,20.25,5.0,4.0
2026-05-21,1,08,0,85.0,15.0,-24.25,5.0,4.0
2026-05-21,0,12,0,85.0,15.0,-24.25,5.0,4.0
2026-05-28,1,09,0,105.0,3.5,-7.75,5.0,4.0
2026-06-01,0,08,0,55.0,5.75,-13.25,5.0,4.0
2026-06-01,1,09,0,55.0,5.75,-13.25,5.0,4.0
2026-06-04,0,11,1,65.0,40.5,-19.0,5.0,4.0
2026-06-09,1,08,1,140.0,30.25,45.25,1.0,2.0
